GeneId,HC_RNA_S153,IBM-Neg_S152,IBM-Pos_S151,UT_RNA_S154
FO393419.2,0,0,0,0
BX293535.1,0,29,0,0
AHDC1,287,507,776,214
FGR,0,0,0,0
LINC02574,0,0,0,0
IFI6,187,371,162,162
AL445490.1,0,0,0,0
FAM76A,2480,1998,2169,2626
STX12,1137,2159,3770,1491
PPP1R8,768,2447,1747,95
THEMIS2,3,141,136,463
RPA2,2913,1288,1517,543
SMPDL3B,0,0,0,0
AL512288.1,0,0,0,0
XKR8,1189,527,55,1684
EYA3,68,250,556,8
PTAFR,13,0,1,0
DNAJC8,1085,4670,5724,2875
ATP5IF1,368,2257,2067,1127
AL353622.1,0,0,0,0
AL353622.2,0,0,0,0
SESN2,609,533,443,542
MED18,64,311,26,0
PHACTR4,565,1033,311,1089
RCC1,193,166,300,53
TRNAU1AP,126,1048,1418,692
SNHG12,1,124,8,2
TAF12,954,1983,2079,304
RAB42,0,310,360,0
LINC01715,0,0,0,0
AL360012.1,0,0,0,0
GMEB1,698,538,203,6
YTHDF2,9550,5041,6806,11651
OPRD1,0,0,0,0
AL009181.1,0,0,0,0
EPB41,22,75,0,1
TMEM200B,2,0,1,0
AL357500.1,0,0,0,0
SRSF4,3216,643,1078,1284
MECR,149,252,920,0
AL590729.1,0,0,0,0
PTPRU,317,236,275,118
LINC01756,0,0,0,0
AC092265.1,0,0,0,0
AL645944.2,0,0,0,0
LINC01648,0,0,0,0
AL137076.1,0,0,0,0
AL161638.2,0,0,0,0
AL161638.1,0,0,0,0
MATN1,0,14,0,0
MATN1-AS1,0,0,0,2
LAPTM5,454,136,124,0
AL137027.1,0,0,0,0
LINC01778,0,0,1,0
AL445235.1,0,0,0,0
SDC3,235,393,303,543
PUM1,691,1000,371,521
NKAIN1,0,0,3,0
SNRNP40,3617,3491,5730,2132
ZCCHC17,1,549,1199,958
AL451070.1,0,0,0,0
FABP3,6376,4838,3998,3858
SERINC2,130,153,115,74
AC114488.1,0,0,0,0
TINAGL1,0,22,62,307
HCRTR1,0,0,0,0
PEF1,786,1374,1730,239
AC114488.2,0,0,0,0
AC114488.3,0,0,0,0
COL16A1,3224,2783,4503,8395
ADGRB2,0,35,0,200
AL354919.2,0,0,0,0
SPOCD1,943,523,541,423
AL354919.1,1,13,0,0
AL136115.2,0,0,0,0
PTP4A2,15455,32496,25527,14045
AL136115.1,0,6,1,0
AL136115.3,0,0,0,0
KHDRBS1,4623,4542,6249,2689
AL445248.1,0,0,0,0
TMEM39B,0,29,79,1
KPNA6,13152,9810,10198,6865
TXLNA,8501,4966,9281,3767
CCDC28B,0,31,0,0
AL049795.1,0,0,0,0
IQCC,0,1,10,0
DCDC2B,0,0,1,0
TMEM234,26,419,644,14
EIF3I,4720,6241,8770,5628
FAM167B,322,30,140,71
LCK,0,0,0,0
HDAC1,3843,2485,2610,1533
MARCKSL1,339,221,566,310
AL109945.1,0,0,0,0
TSSK3,0,7,0,0
FAM229A,0,6,0,0
BSDC1,5712,2048,3610,1517
AL033529.1,0,0,0,0
ZBTB8B,0,1,1,2
ZBTB8A,26,930,586,2219
ZBTB8OS,5197,2848,3840,1243
RBBP4,1678,3295,4105,2031
SYNC,66,149,162,850
AC114489.1,0,0,0,0
KIAA1522,6191,1966,2766,2452
YARS,5640,5600,5208,4121
S100PBP,3158,2939,4682,2099
FNDC5,82,455,45,1539
HPCA,0,0,0,0
TMEM54,395,1506,1469,221
RNF19B,88,127,40,0
AL020995.1,0,16,0,0
AK2,774,2457,3344,6018
AZIN2,236,92,529,124
TRIM62,262,58,29,2
AL662907.3,0,0,0,0
ZNF362,541,99,92,118
AL513327.3,0,0,0,0
A3GALT2,0,0,0,0
AL513327.1,1,309,1,2
PHC2,2160,1312,411,1201
AL513327.2,0,0,0,0
ZSCAN20,0,1,5,0
CSMD2,25,141,352,0
HMGB4,0,0,0,0
CSMD2-AS1,0,0,0,0
C1orf94,0,0,0,0
SMIM12,4237,5516,6078,6766
GJB5,22,0,67,0
GJB4,0,0,0,0
AL121988.1,0,0,0,0
GJB3,0,0,0,0
GJA4,0,0,0,0
AL122010.1,87,0,0,7
DLGAP3,0,0,0,0
AC114490.3,1,6,0,0
AC114490.2,0,2,1,0
TMEM35B,0,12,6,1
ZMYM6,163,926,845,368
ZMYM1,1,1175,353,231
AL590434.1,0,0,0,0
SFPQ,8488,4595,5558,1250
ZMYM4,2718,3201,5713,811
ZMYM4-AS1,0,0,0,0
KIAA0319L,3253,1538,537,1302
NCDN,1528,299,225,1220
AC004865.2,0,0,0,0
TFAP2E,0,0,0,0
PSMB2,2113,909,1178,240
C1orf216,2917,853,724,269
CLSPN,2,102,24,0
AL354864.1,0,0,0,0
AGO4,1224,1156,642,997
AGO1,815,6037,3691,3018
AL139286.2,0,0,0,0
AGO3,1558,1153,213,80
AL138787.2,0,0,0,0
TEKT2,0,2,0,0
ADPRHL2,151,329,280,803
COL8A2,356,352,405,825
TRAPPC3,11282,7219,7186,2041
MAP7D1,10251,8360,5969,9198
THRAP3,10636,7780,9122,4979
SH3D21,0,0,0,0
EVA1B,1146,1381,639,127
AL591845.1,0,91,2,736
STK40,1512,513,1638,143
LSM10,1209,733,831,0
OSCP1,2534,7,0,0
MRPS15,3785,3158,5019,1533
CSF3R,2,0,0,0
AL596257.1,0,0,0,0
AC117945.2,0,0,0,0
AC117945.1,0,0,0,0
GRIK3,0,0,0,0
AL031430.1,0,0,0,0
AL353604.1,0,0,0,0
LINC01137,2,36,62,0
ZC3H12A,37,302,12,151
MEAF6,5565,5298,5469,2637
SNIP1,548,1518,1011,333
DNALI1,0,57,33,0
GNL2,70,393,284,389
RSPO1,0,0,0,0
C1orf109,1130,465,1854,16
CDCA8,1,28,835,59
EPHA10,2,0,0,0
MANEAL,0,0,1,0
AL929472.3,0,0,0,0
YRDC,1395,1533,1286,990
C1orf122,1720,3223,899,279
MTF1,56,560,1711,510
AL929472.2,0,0,0,0
INPP5B,1229,1406,2155,2346
SF3A3,2721,1988,2316,1877
FHL3,17,197,167,223
UTP11,243,1224,720,424
POU3F1,0,0,0,0
AL139158.2,0,0,0,0
AL139158.3,0,0,0,0
LINC01343,0,0,0,0
LINC01685,0,0,0,0
AL354702.2,0,0,0,0
RRAGC,5721,6481,7455,3688
AL139260.1,0,63,0,2
MYCBP,886,843,390,0
AL139260.3,17,0,0,0
GJA9,0,0,0,0
RHBDL2,0,202,110,0
AKIRIN1,46,1947,2345,35
NDUFS5,8151,7265,7903,2650
MACF1,8510,5500,11041,4001
AL442071.1,0,0,0,0
BMP8A,0,0,0,0
PABPC4,12463,10409,11065,4027
AL365277.1,0,0,0,0
HEYL,2762,840,1280,5559
AL035404.2,0,0,0,0
NT5C1A,0,0,0,0
HPCAL4,0,0,0,0
PPIE,2984,2135,2886,1435
BMP8B,130,0,1,7
OXCT2,0,0,0,0
AL033527.3,0,0,0,0
AL033527.5,0,0,0,0
AL033527.4,1,0,0,0
TRIT1,436,530,1739,32
MYCL,0,20,113,0
AL033527.2,0,79,0,0
MFSD2A,1044,249,4,0
CAP1,2712,2341,3597,765
PPT1,1448,911,675,2
RLF,197,728,926,33
TMCO2,0,16,0,0
AL050341.2,6,39,41,94
ZMPSTE24,4412,5342,6601,2033
COL9A2,0,0,0,0
SMAP2,841,349,427,203
AL031985.4,0,0,0,0
ZFP69B,27,0,52,0
ZFP69,0,0,2,0
AL603839.3,0,0,0,0
EXO5,10,349,723,18
AL603839.1,0,0,0,0
AL603839.2,0,0,0,0
ZNF684,0,0,0,1
RIMS3,0,0,0,0
AL031289.1,0,0,0,0
NFYC-AS1,0,0,0,0
NFYC,499,324,202,1400
KCNQ4,0,26,0,33
CITED4,35,9,32,11
AC119677.1,0,0,0,0
CTPS1,4715,1550,1708,442
SLFNL1-AS1,43,3,1,0
SLFNL1,0,5,0,0
SCMH1,226,168,14,1462
AC093151.3,0,0,0,0
FOXO6,0,0,0,0
AC093151.2,0,0,0,0
EDN2,0,0,0,0
HIVEP3,174,2,366,4
AL445933.2,0,0,0,0
AC119676.1,0,0,0,0
GUCA2B,0,0,0,0
GUCA2A,0,0,0,0
FOXJ3,2631,2160,3031,1998
RIMKLA,0,0,0,0
ZMYND12,1272,0,0,0
PPCS,1574,897,59,379
CCDC30,0,2,4,7
PPIH,1201,1224,1848,1130
AC098484.2,0,1,0,0
YBX1,21682,15814,18280,7155
CLDN19,0,0,0,0
P3H1,393,1132,1644,34
C1orf50,301,197,1,0
AC098484.3,0,0,0,0
AC098484.1,0,0,0,0
TMEM269,0,1,0,0
SVBP,1115,1123,840,393
ERMAP,811,679,920,3
AL512353.1,0,5,1,0
ZNF691,172,351,2,0
SLC2A1,1763,802,2462,28
SLC2A1-AS1,0,184,35,0
AC099795.1,0,0,0,0
FAM183A,0,0,0,0
EBNA1BP2,953,294,76,3
CFAP57,0,1,0,0
TMEM125,0,0,0,0
C1orf210,0,0,0,0
TIE1,0,0,0,0
MPL,0,0,0,0
AL139289.2,0,35,0,0
CDC20,265,25,20,0
ELOVL1,2070,1052,2631,1547
MED8,1424,1785,2670,1225
AL139289.1,0,0,0,0
SZT2,62,150,99,1
SZT2-AS1,0,0,0,0
HYI,0,0,0,0
PTPRF,1247,538,573,2068
AL451062.3,0,0,0,0
KDM4A,100,402,328,548
KDM4A-AS1,0,0,151,0
ST3GAL3,444,381,200,1
AL451062.1,0,0,0,0
ARTN,0,0,0,0
AL357079.1,0,0,0,0
IPO13,149,527,852,3
DPH2,0,149,277,2299
ATP6V0B,16454,12091,15539,705
B4GALT2,2915,1667,2857,1915
CCDC24,496,32,0,0
SLC6A9,124,5,3,0
AL139220.2,1,264,0,0
KLF17,0,0,4,0
KLF18,0,0,0,0
DMAP1,1669,2439,2804,1606
ERI3,26,571,647,65
RNF220,942,1116,2045,2327
TMEM53,1,170,343,16
ARMH1,0,2,0,0
KIF2C,799,256,680,0
AL592166.1,0,27,0,0
RPS8,84500,98116,103966,59250
